2025-10-27 22:34:38 [LogHelper] Upload all log and delete
2025-10-28 10:48:39 [MusicDownloader] ⬇️ Đã tải xong: _She_Neva_Knows.mp3
2025-10-28 10:48:39 [MusicDownloader] 🎧 Đang tải file 8/466: 0%
2025-10-28 10:48:40 [MusicDownloader] 🎧 Đang tải file 8/466: 5%
2025-10-28 10:48:40 [MusicDownloader] 🎧 Đang tải file 8/466: 10%
2025-10-28 10:48:40 [MusicDownloader] 🎧 Đang tải file 8/466: 15%
2025-10-28 10:48:41 [MusicDownloader] 🎧 Đang tải file 8/466: 20%
2025-10-28 10:48:41 [MusicDownloader] 🎧 Đang tải file 8/466: 25%
2025-10-28 10:48:41 [MusicDownloader] 🎧 Đang tải file 8/466: 30%
2025-10-28 10:48:42 [MusicDownloader] 🎧 Đang tải file 8/466: 35%
2025-10-28 10:48:42 [MusicDownloader] 🎧 Đang tải file 8/466: 40%
2025-10-28 10:48:43 [MusicDownloader] 🎧 Đang tải file 8/466: 45%
2025-10-28 10:48:43 [MusicDownloader] 🎧 Đang tải file 8/466: 50%
2025-10-28 10:48:44 [MusicDownloader] 🎧 Đang tải file 8/466: 55%
2025-10-28 10:48:44 [MusicDownloader] 🎧 Đang tải file 8/466: 60%
2025-10-28 10:48:45 [MusicDownloader] 🎧 Đang tải file 8/466: 65%
2025-10-28 10:48:46 [MusicDownloader] 🎧 Đang tải file 8/466: 70%
2025-10-28 10:48:46 [MusicDownloader] 🎧 Đang tải file 8/466: 75%
2025-10-28 10:48:46 [MusicDownloader] 🎧 Đang tải file 8/466: 80%
2025-10-28 10:48:47 [MusicDownloader] 🎧 Đang tải file 8/466: 85%
2025-10-28 10:48:47 [MusicDownloader] 🎧 Đang tải file 8/466: 90%
2025-10-28 10:48:48 [MusicDownloader] 🎧 Đang tải file 8/466: 95%
2025-10-28 10:48:48 [MusicDownloader] 🎧 Đang tải file 8/466: 100%
2025-10-28 10:48:48 [MusicDownloader] ⬇️ Đã tải xong: _Hoa_Nang_-_Live.mp3
2025-10-28 10:48:49 [MusicDownloader] 🎧 Đang tải file 9/466: 0%
2025-10-28 10:48:50 [MusicDownloader] 🎧 Đang tải file 9/466: 5%
2025-10-28 10:48:51 [MusicDownloader] 🎧 Đang tải file 9/466: 10%
2025-10-28 10:48:52 [MusicDownloader] 🎧 Đang tải file 9/466: 15%
2025-10-28 10:48:52 [MusicDownloader] 🎧 Đang tải file 9/466: 20%
2025-10-28 10:48:53 [MusicDownloader] 🎧 Đang tải file 9/466: 25%
2025-10-28 10:48:53 [MusicDownloader] 🎧 Đang tải file 9/466: 30%
2025-10-28 10:48:54 [MusicDownloader] 🎧 Đang tải file 9/466: 35%
2025-10-28 10:48:54 [MusicDownloader] 🎧 Đang tải file 9/466: 40%
2025-10-28 10:48:55 [MusicDownloader] 🎧 Đang tải file 9/466: 45%
2025-10-28 10:48:55 [MusicDownloader] 🎧 Đang tải file 9/466: 50%
2025-10-28 10:48:56 [MusicDownloader] 🎧 Đang tải file 9/466: 55%
2025-10-28 10:48:56 [MusicDownloader] 🎧 Đang tải file 9/466: 60%
2025-10-28 10:48:57 [MusicDownloader] 🎧 Đang tải file 9/466: 65%
2025-10-28 10:48:58 [MusicDownloader] 🎧 Đang tải file 9/466: 70%
2025-10-28 10:48:58 [MusicDownloader] 🎧 Đang tải file 9/466: 75%
2025-10-28 10:48:59 [MusicDownloader] 🎧 Đang tải file 9/466: 80%
2025-10-28 10:48:59 [MusicDownloader] 🎧 Đang tải file 9/466: 85%
2025-10-28 10:49:00 [MusicDownloader] 🎧 Đang tải file 9/466: 90%
